action_name,action_key
reduction_of_demand,1
demand_response,2
solar_fleet,3
wind,4
hydro_fleet,5
geothermal_fleet,6
solar_thermal,7
biomass_boiler,8
gas_boiler,9
heat_pump,10
geothermal_heat,11
methanisation,12
gas_chp,13
biomass_chp,14
battery_storage,15
heat_storage,16
gas_storage,17
creation_of_dhn,18
connection_to_the_dhn,19
dhn_supplier,20
charging_station,21
grid,22
DHN,23
DC,24
electric_heater,25
other,26
oil_boiler,27
hydrogen,28
