Country,Ambitious_renovator,HighDHN,HighElectrification,Biomass,Solar,SmartHeating,Allow_gas
AT,True,True,True,True,False,True,False
ES,False,False,True,False,True,False,False
FI,True,True,False,True,False,True,False
IT,False,False,True,False,True,True,False
Source,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report,https://www.researchgate.net/publication/333371930_Development_of_Energy_demand_for_buildings_industry_and_transport_in_the_SET-Nav_pathways_-_WP5_Summary_report
